Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Frosinone,33,41.1,38.0,19686,2533,7431,9048,4402,596,17819,276,510,54.1,305,23,12328,63171,34695,1224,391,78,384,347,14229,11525,81.0,1307
Genoa,31,43.1,38.0,19706,2176,6137,9100,5797,877,17817,363,577,62.9,392,22,12252,65286,35958,1411,517,117,386,386,13999,11178,79.8,1439
Inter,23,59.6,38.0,27443,2274,7584,13810,7807,1135,25587,351,552,63.6,366,15,19533,99283,54007,2226,694,185,437,381,22123,19563,88.4,1900
Juventus,31,56.2,38.0,25889,2153,7122,13090,7438,1045,24208,444,774,57.4,475,20,18767,95840,51995,2268,682,189,414,350,20956,18393,87.8,1680
Lazio,30,50.8,38.0,24008,2250,7089,11424,7168,1103,22343,386,694,55.6,430,18,16380,88946,50449,2069,632,189,385,379,18599,15879,85.4,1870
Milan,23,54.2,38.0,25372,2621,8291,12354,6452,931,23566,425,690,61.6,462,27,18103,91032,50025,1982,601,152,452,421,20070,17532,87.4,1477
Napoli,26,59.4,38.0,28652,2114,7296,14815,8430,1068,26920,418,707,59.1,457,25,21516,103545,59341,2620,806,198,380,351,23865,21121,88.5,2045
Parma,31,37.3,38.0,18143,2944,7395,8038,3863,584,16288,364,656,55.5,396,26,10805,55745,29610,1004,324,93,411,402,12572,9996,79.5,1141
Roma,26,51.7,38.0,23350,2391,7026,11302,6521,1087,21528,470,786,59.8,499,21,15866,79617,42452,1741,591,181,441,378,18068,15367,85.1,1940
Sampdoria,24,55.3,38.0,25381,2672,7652,12710,6590,834,23577,380,614,61.9,400,24,17606,79645,44903,1828,552,112,404,467,20108,17188,85.5,1769
Sassuolo,29,54.0,38.0,24277,2463,7982,11994,5910,778,22404,460,755,60.9,494,32,17150,85861,47763,1828,504,157,470,411,18999,16500,86.8,1504
SPAL,28,50.6,38.0,22156,2658,7881,10440,5490,723,20255,351,570,61.6,375,15,14766,82624,46471,1796,611,128,471,427,16544,14319,86.6,1357
Torino,25,51.4,38.0,21765,2205,6804,10381,6018,906,19863,437,723,60.4,456,20,13837,74187,40506,1650,560,146,472,496,15611,12929,82.8,1487
Udinese,31,42.4,38.0,19810,2442,7124,9468,4507,685,18003,400,637,62.8,423,9,12400,66578,36983,1390,452,137,446,439,13940,11534,82.7,1272
Atalanta,25,55.2,38.0,25771,2066,7492,12493,7535,1202,23989,485,740,65.5,522,16,17534,93137,49108,2095,667,187,553,554,19093,16813,88.1,2034
Benevento,41,47.7,38.0,22160,2698,8463,10498,4844,663,20460,467,747,62.5,515,30,14874,84429,47024,1597,492,133,472,470,16300,14168,86.9,1286
Bologna,30,47.2,38.0,22200,2656,8070,10638,4846,620,20366,400,632,63.3,430,19,14002,71102,37762,1392,418,91,558,461,15944,13639,85.5,1347
Cagliari,29,45.2,38.0,20989,2325,7222,10018,4876,745,19087,283,484,58.5,317,11,12282,58722,30667,1146,348,88,475,393,14590,12167,83.4,1460
Chievo,25,44.3,38.0,21317,2548,7249,10009,5301,695,19519,289,476,60.7,307,7,12956,64259,32815,1201,433,71,414,417,14883,12575,84.5,1542
Crotone,29,40.1,38.0,19532,2466,6946,9134,4539,632,17762,292,502,58.2,318,15,11130,54891,29330,1083,378,80,548,401,12906,10311,79.9,1420
Fiorentina,27,52.6,38.0,24197,2173,7374,12146,6138,928,22481,388,655,59.2,416,21,15866,77591,42668,1647,546,140,481,474,17491,15290,87.4,1850
Genoa,33,46.3,38.0,21766,2297,7053,10466,5668,792,19990,343,535,64.1,377,26,13850,71018,39489,1553,538,102,491,447,15695,13218,84.2,1547
Hellas Verona,32,41.8,38.0,20117,3000,8022,9000,4434,552,18376,426,691,61.6,468,30,12339,66956,35989,1230,431,98,486,463,13890,11493,82.7,1187
Inter,22,56.9,38.0,26783,2330,7788,13556,7207,1048,25126,393,665,59.1,436,26,18563,96054,53678,2109,668,176,422,369,21016,18750,89.2,1778
Juventus,24,57.1,38.0,27527,2134,7990,14457,6798,881,26051,447,696,64.2,484,23,20053,96047,49191,1984,599,156,487,436,22157,20058,90.5,1698
Lazio,24,51.1,38.0,24559,2214,7838,11757,6754,1092,23023,466,751,62.1,501,32,16833,91698,52074,1997,606,196,541,451,18776,16308,86.9,1848
Milan,23,55.9,38.0,25667,2120,7429,12728,7137,974,24086,312,478,65.3,344,14,18087,86967,47691,2024,655,173,455,413,19838,17744,89.4,1600
Napoli,23,63.2,38.0,32977,1901,7143,18407,9349,1092,31365,381,697,54.7,421,30,23717,100170,59295,2675,792,194,450,404,27690,24985,90.2,2270
Roma,27,58.0,38.0,25758,2228,7178,12747,7638,1107,24091,429,715,60.0,475,21,18030,96585,51662,2150,652,202,493,467,19799,17296,87.4,2164
Sampdoria,27,53.4,38.0,24644,2385,6950,13043,6197,845,22818,417,664,62.8,449,18,16024,75770,42856,1692,489,116,493,519,18390,16148,87.8,1830
Sassuolo,28,43.2,38.0,20244,2361,6722,9109,5637,746,18434,332,551,60.3,370,12,12280,64848,34314,1311,433,114,425,480,14016,11497,82.0,1579
SPAL,29,45.1,38.0,20466,2421,7272,9830,4724,606,18598,404,603,67.0,435,16,12893,66856,37702,1348,442,78,437,452,14138,12214,86.4,1263
Torino,27,51.0,38.0,22935,2555,8018,10686,5740,818,21090,447,720,62.1,477,19,14920,79599,41055,1541,495,136,527,538,16626,14425,86.8,1540
Udinese,27,44.7,38.0,21100,2346,7194,10296,4907,690,19285,323,552,58.5,345,13,13063,67758,35789,1425,489,106,428,457,14782,12619,85.4,1487
